advertise,B_size,Dining_1,Dining_2,Dining_3,Campaign,Opening,Batching_1,Batching_2,Batching_3,Profit
0.1,55,60 minutes,60 minutes,60 minutes,Awareness,270,None,None,None,45.13
1,55,60 minutes,60 minutes,60 minutes,Awareness,270,None,None,None,-282.29
0.1,87,60 minutes,45 minutes,45 minutes,Awareness,330,None,Tables of 8,Tables of 4 to 8,520.66
0.1,55,60 minutes,45 minutes,45 minutes,Awareness,330,None,Tables of 8,Tables of 4 to 8,324.19
0.1,79,50 minutes,45 minutes,45 minutes,Awareness,330,4 share a table,Tables of 4 to 8,Tables of 8,491.36
0.1,87,50 minutes,45 minutes,45 minutes,Awareness,330,4 share a table,4 share a table,Tables of 8,500.18
0.1,87,50 minutes,45 minutes,45 minutes,Awareness,330,4 share a table,Tables of 8,Tables of 8,497.86
0.1,87,50 minutes,45 minutes,45 minutes,Awareness,330,Tables of 8,Tables of 4 to 8,Tables of 8,533.42
0.1,87,50 minutes,45 minutes,45 minutes,Awareness,330,Tables of 4 to 8,Tables of 4 to 8,Tables of 8,531.29
0.1,87,49 minutes,45 minutes,45 minutes,Awareness,330,4 share a table,Tables of 4 to 8,Tables of 8,534.35
0.1,87,51 minutes,45 minutes,45 minutes,Awareness,330,4 share a table,Tables of 4 to 8,Tables of 8,529.97
0.1,87,54 minutes,45 minutes,45 minutes,Awareness,330,4 share a table,Tables of 4 to 8,Tables of 8,525.09
0.1,87,45 minutes,45 minutes,45 minutes,Awareness,330,4 share a table,Tables of 4 to 8,Tables of 8,516.81
0.1,87,50 minutes,45 minutes,45 minutes,Awareness,330,4 share a table,Tables of 4 to 8,Tables of 8,546.81
0.1,87,50 minutes,45 minutes,50 minutes,Awareness,330,4 share a table,Tables of 4 to 8,Tables of 8,544.22
0.1,87,50 minutes,45 minutes,55 minutes,Awareness,330,4 share a table,Tables of 4 to 8,Tables of 8,541.87
0.1,87,50 minutes,45 minutes,70 minutes,Awareness,330,4 share a table,Tables of 4 to 8,Tables of 8,517.22
0.1,87,50 minutes,45 minutes,60 minutes,Awareness,330,4 share a table,Tables of 4 to 8,Tables of 8,536.35
0.1,87,45 minutes,45 minutes,60 minutes,Awareness,330,4 share a table,Tables of 4 to 8,Tables of 8,519.34
0.1,87,47 minutes,45 minutes,60 minutes,Awareness,330,4 share a table,Tables of 4 to 8,Tables of 8,527.29
0.1,87,47 minutes,60 minutes,60 minutes,Awareness,330,4 share a table,Tables of 4 to 8,Tables of 8,455.73
0.1,87,47 minutes,50 minutes,60 minutes,Awareness,330,4 share a table,Tables of 4 to 8,Tables of 8,508.09
0.1,87,47 minutes,50 minutes,75 minutes,Awareness,330,4 share a table,Tables of 4 to 8,Tables of 8,490.78
0.1,87,47 minutes,50 minutes,70 minutes,Awareness,330,4 share a table,Tables of 4 to 8,Tables of 8,495.47
0.1,87,47 minutes,47 minutes,70 minutes,Awareness,330,4 share a table,4 share a table,Tables of 8,472.62
0.1,87,47 minutes,47 minutes,70 minutes,Awareness,330,4 share a table,Tables of 8,Tables of 8,485.06
0.1,87,47 minutes,47 minutes,70 minutes,Awareness,330,4 share a table,Tables of 4 to 8,Tables of 8,503.72
0.1,87,47 minutes,47 minutes,70 minutes,Awareness,330,Tables of 4 to 8,Tables of 4 to 8,Tables of 8,495.93
0.1,87,47 minutes,47 minutes,70 minutes,Awareness,330,Tables of 8,Tables of 8,Tables of 8,495.27
2.1,55,47 minutes,70 minutes,75 minutes,Happy Hour,330,Tables of 4 to 8,4 share a table,None,128.05
0.1,87,72 minutes,45 minutes,51 minutes,Awareness,330,Tables of 8,Tables of 8,4 share a table,501.28
0.1,87,72 minutes,45 minutes,52 minutes,Awareness,330,Tables of 8,Tables of 8,4 share a table,500.35
0.1,87,72 minutes,45 minutes,53 minutes,Awareness,330,Tables of 8,Tables of 8,4 share a table,498.81
0.1,87,72 minutes,45 minutes,54 minutes,Awareness,330,Tables of 8,Tables of 8,4 share a table,496.13
0.1,87,72 minutes,45 minutes,55 minutes,Awareness,330,Tables of 8,Tables of 8,4 share a table,495.66
0.1,87,72 minutes,45 minutes,50 minutes,Awareness,330,Tables of 8,Tables of 8,4 share a table,508.52
0.1,87,72 minutes,45 minutes,48 minutes,Awareness,330,Tables of 8,Tables of 8,4 share a table,506.47
0.1,87,72 minutes,45 minutes,47 minutes,Awareness,330,Tables of 8,Tables of 8,4 share a table,505.44
0.1,87,72 minutes,46 minutes,45 minutes,Awareness,330,Tables of 8,Tables of 8,4 share a table,503.06
0.1,87,73 minutes,45 minutes,45 minutes,Awareness,330,Tables of 8,Tables of 8,4 share a table,500.61
0.1,87,72 minutes,45 minutes,45 minutes,Awareness,330,Tables of 8,Tables of 8,4 share a table,505.12
0.1,87,71 minutes,45 minutes,45 minutes,Awareness,330,Tables of 8,Tables of 8,4 share a table,502.68
0.1,87,70 minutes,45 minutes,45 minutes,Awareness,330,Tables of 8,Tables of 8,4 share a table,502.49
0.1,87,75 minutes,45 minutes,45 minutes,Awareness,330,Tables of 8,Tables of 8,4 share a table,493.82
0.1,87,65 minutes,45 minutes,45 minutes,Awareness,330,Tables of 8,Tables of 8,4 share a table,499.28
0.1,87,64 minutes,45 minutes,45 minutes,Awareness,330,Tables of 8,Tables of 8,4 share a table,499.12
0.1,87,64 minutes,45 minutes,46 minutes,Awareness,330,Tables of 8,Tables of 8,4 share a table,495.91
0.1,87,64 minutes,46 minutes,46 minutes,Awareness,330,Tables of 8,Tables of 8,4 share a table,493.72
0.1,87,62 minutes,46 minutes,46 minutes,Awareness,330,Tables of 8,Tables of 8,4 share a table,490.94
0.1,87,62 minutes,45 minutes,45 minutes,Awareness,330,Tables of 8,Tables of 8,4 share a table,492.04
0.1,87,62 minutes,45 minutes,45 minutes,Awareness,330,Tables of 8,Tables of 8,4 share a table,492.04
0.1,87,60 minutes,45 minutes,75 minutes,Awareness,330,Tables of 8,Tables of 8,4 share a table,490
0.1,87,60 minutes,60 minutes,60 minutes,Awareness,330,Tables of 8,Tables of 8,4 share a table,442.21
0.1,87,60 minutes,60 minutes,45 minutes,Awareness,330,Tables of 8,Tables of 8,4 share a table,471.76
0.1,87,45 minutes,60 minutes,75 minutes,Awareness,330,Tables of 8,Tables of 8,4 share a table,380
0.1,87,45 minutes,45 minutes,75 minutes,Awareness,330,Tables of 8,Tables of 8,4 share a table,469.11
0.1,87,60 minutes,45 minutes,45 minutes,Awareness,330,Tables of 8,Tables of 8,4 share a table,503.16
0.1,87,60 minutes,45 minutes,45 minutes,Awareness,330,Tables of 8,Tables of 8,None,499.97
0.1,87,60 minutes,45 minutes,45 minutes,Awareness,330,Tables of 8,4 share a table,4 share a table,487.62
0.1,87,60 minutes,45 minutes,45 minutes,Awareness,330,Tables of 4 to 8,Tables of 4 to 8,Tables of 8,511.81
0.1,87,60 minutes,45 minutes,45 minutes,Awareness,330,4 share a table,Tables of 4 to 8,Tables of 8,513.06
0.1,87,60 minutes,45 minutes,45 minutes,Awareness,330,Tables of 8,4 share a table,4 share a table,487.62
0.1,87,60 minutes,45 minutes,45 minutes,Awareness,330,4 share a table,4 share a table,Tables of 4 to 8,471.97
0.1,87,60 minutes,45 minutes,45 minutes,Awareness,330,Tables of 8,Tables of 4 to 8,Tables of 8,535.02
0.1,87,60 minutes,45 minutes,45 minutes,Awareness,330,Tables of 8,Tables of 4 to 8,Tables of 4 to 8,529.64
0.1,87,60 minutes,45 minutes,45 minutes,Awareness,330,Tables of 8,4 share a table,Tables of 4 to 8,512.85
0.1,87,60 minutes,45 minutes,45 minutes,Awareness,330,Tables of 8,4 share a table,4 share a table,487.62
0.1,87,60 minutes,45 minutes,45 minutes,Awareness,330,Tables of 8,4 share a table,Tables of 8,518.76
0.1,87,60 minutes,45 minutes,45 minutes,Awareness,330,Tables of 8,Tables of 8,Tables of 8,507.46
0.1,87,64 minutes,46 minutes,46 minutes,Awareness,330,Tables of 8,4 share a table,Tables of 4 to 8,492.92
0.1,87,64 minutes,46 minutes,46 minutes,Awareness,330,None,Tables of 8,Tables of 4 to 8,523.23
0.1,87,62 minutes,45 minutes,45 minutes,Awareness,330,None,Tables of 8,Tables of 4 to 8,547.14
0.1,87,62 minutes,45 minutes,45 minutes,Awareness,330,Tables of 8,4 share a table,Tables of 4 to 8,509.54
0.1,87,60 minutes,45 minutes,75 minutes,Awareness,330,Tables of 8,4 share a table,Tables of 4 to 8,467.11
0.1,87,60 minutes,45 minutes,60 minutes,Awareness,330,Tables of 8,4 share a table,Tables of 4 to 8,497.92
0.1,87,60 minutes,60 minutes,45 minutes,Awareness,330,Tables of 8,4 share a table,Tables of 4 to 8,378.11
0.1,87,60 minutes,45 minutes,45 minutes,Awareness,330,Tables of 8,4 share a table,Tables of 4 to 8,512.85
0.1,87,45 minutes,60 minutes,75 minutes,Awareness,330,Tables of 8,4 share a table,Tables of 4 to 8,329.77
0.1,87,45 minutes,45 minutes,75 minutes,Awareness,330,Tables of 8,4 share a table,Tables of 4 to 8,497.31
0.1,79,45 minutes,45 minutes,45 minutes,Awareness,330,4 share a table,4 share a table,Tables of 4 to 8,475.85
0.1,79,45 minutes,45 minutes,45 minutes,Awareness,330,Tables of 8,Tables of 4 to 8,Tables of 8,476.91
0.1,79,45 minutes,45 minutes,45 minutes,Awareness,330,Tables of 8,Tables of 4 to 8,Tables of 4 to 8,478.56
0.1,79,45 minutes,45 minutes,45 minutes,Awareness,330,Tables of 8,4 share a table,Tables of 8,490.63
0.1,15,45 minutes,45 minutes,45 minutes,Awareness,330,Tables of 8,4 share a table,Tables of 8,121.99
0.1,15,45 minutes,45 minutes,45 minutes,Awareness,330,None,None,None,18.05
0.1,63,45 minutes,45 minutes,45 minutes,Awareness,330,Tables of 8,4 share a table,Tables of 4 to 8,392.05
0.1,71,45 minutes,45 minutes,45 minutes,Awareness,330,Tables of 8,4 share a table,Tables of 4 to 8,442.36
0.1,79,45 minutes,45 minutes,45 minutes,Awareness,330,Tables of 8,4 share a table,Tables of 4 to 8,490.17
0.1,87,45 minutes,45 minutes,45 minutes,Awareness,330,Tables of 8,4 share a table,Tables of 4 to 8,540.9
0.1,87,45 minutes,45 minutes,45 minutes,Awareness,330,Tables of 8,4 share a table,Tables of 4 to 8,540.9
0.1,87,45 minutes,45 minutes,45 minutes,Awareness,330,4 share a table,4 share a table,4 share a table,478.1
0.1,87,45 minutes,45 minutes,45 minutes,Awareness,330,4 share a table,4 share a table,Tables of 4 to 8,521.49
0.1,87,45 minutes,45 minutes,45 minutes,Awareness,330,4 share a table,4 share a table,Tables of 8,506.32
0.1,87,45 minutes,45 minutes,45 minutes,Awareness,330,4 share a table,4 share a table,None,435.09
0.1,87,45 minutes,45 minutes,45 minutes,Awareness,330,4 share a table,Tables of 4 to 8,4 share a table,500.16
0.1,87,45 minutes,45 minutes,45 minutes,Awareness,330,4 share a table,Tables of 4 to 8,Tables of 4 to 8,510.79
0.1,87,45 minutes,45 minutes,45 minutes,Awareness,330,4 share a table,Tables of 4 to 8,Tables of 8,516.81
0.1,87,45 minutes,45 minutes,45 minutes,Awareness,330,4 share a table,Tables of 4 to 8,None,473.95
0.1,87,45 minutes,45 minutes,45 minutes,Awareness,330,4 share a table,Tables of 8,4 share a table,470.42
0.1,87,45 minutes,45 minutes,45 minutes,Awareness,330,4 share a table,Tables of 8,Tables of 4 to 8,474.14
0.1,87,45 minutes,45 minutes,45 minutes,Awareness,330,4 share a table,Tables of 8,Tables of 8,475.08
0.1,87,45 minutes,45 minutes,45 minutes,Awareness,330,4 share a table,Tables of 8,None,479.7
0.1,87,45 minutes,45 minutes,45 minutes,Awareness,330,4 share a table,None,4 share a table,421.33
0.1,87,45 minutes,45 minutes,45 minutes,Awareness,330,4 share a table,None,Tables of 4 to 8,458.72
0.1,87,45 minutes,45 minutes,45 minutes,Awareness,330,4 share a table,None,Tables of 8,457.07
0.1,87,45 minutes,45 minutes,45 minutes,Awareness,330,4 share a table,Tables of 8,None,479.7
0.1,87,45 minutes,45 minutes,45 minutes,Awareness,330,4 share a table,None,None,363.53
0.1,87,45 minutes,45 minutes,45 minutes,Awareness,330,Tables of 4 to 8,4 share a table,4 share a table,474.73
0.1,87,45 minutes,45 minutes,45 minutes,Awareness,330,Tables of 4 to 8,4 share a table,Tables of 4 to 8,511.55
0.1,87,45 minutes,45 minutes,45 minutes,Awareness,330,Tables of 4 to 8,4 share a table,Tables of 8,500.55
0.1,87,45 minutes,45 minutes,45 minutes,Awareness,330,Tables of 4 to 8,4 share a table,None,432.64
0.1,87,45 minutes,45 minutes,45 minutes,Awareness,330,4 share a table,4 share a table,Tables of 8,506.32
0.1,87,45 minutes,45 minutes,45 minutes,Awareness,330,4 share a table,4 share a table,None,435.09
0.1,87,45 minutes,45 minutes,45 minutes,Awareness,330,Tables of 4 to 8,Tables of 4 to 8,4 share a table,502.17
0.1,87,45 minutes,45 minutes,45 minutes,Awareness,330,Tables of 4 to 8,Tables of 4 to 8,Tables of 4 to 8,507.43
0.1,87,45 minutes,45 minutes,45 minutes,Awareness,330,Tables of 4 to 8,Tables of 4 to 8,Tables of 8,515.38
0.1,87,45 minutes,45 minutes,45 minutes,Awareness,330,Tables of 4 to 8,Tables of 4 to 8,None,475.16
0.1,87,45 minutes,45 minutes,45 minutes,Awareness,330,Tables of 8,4 share a table,4 share a table,515.22
0.1,87,45 minutes,45 minutes,45 minutes,Awareness,330,Tables of 8,4 share a table,Tables of 4 to 8,540.9
0.1,87,45 minutes,45 minutes,45 minutes,Awareness,330,Tables of 8,4 share a table,Tables of 8,536.31
0.1,87,45 minutes,45 minutes,45 minutes,Awareness,330,Tables of 8,4 share a table,None,455.93
0.1,87,45 minutes,45 minutes,45 minutes,Awareness,330,Tables of 8,Tables of 4 to 8,4 share a table,517.63
0.1,87,45 minutes,45 minutes,45 minutes,Awareness,330,Tables of 8,Tables of 4 to 8,Tables of 4 to 8,528.31
0.1,87,45 minutes,45 minutes,45 minutes,Awareness,330,Tables of 8,Tables of 4 to 8,Tables of 8,523.13
0.1,87,45 minutes,45 minutes,45 minutes,Awareness,330,Tables of 8,Tables of 4 to 8,None,492.03
0.1,87,45 minutes,45 minutes,45 minutes,Awareness,330,None,4 share a table,4 share a table,447.06
0.1,87,45 minutes,45 minutes,45 minutes,Awareness,330,None,4 share a table,Tables of 4 to 8,484.37
0.1,87,45 minutes,45 minutes,45 minutes,Awareness,330,None,4 share a table,Tables of 8,476.96
0.1,87,45 minutes,45 minutes,45 minutes,Awareness,330,None,4 share a table,None,410.32
0.1,87,45 minutes,45 minutes,45 minutes,Awareness,330,None,Tables of 4 to 8,4 share a table,480.07
0.1,87,45 minutes,45 minutes,45 minutes,Awareness,330,None,Tables of 4 to 8,Tables of 4 to 8,503.4
0.1,87,45 minutes,45 minutes,45 minutes,Awareness,330,None,Tables of 4 to 8,Tables of 8,499.2
0.1,87,45 minutes,45 minutes,45 minutes,Awareness,330,None,Tables of 4 to 8,None,461.04
0.1,87,45 minutes,45 minutes,45 minutes,Awareness,330,Tables of 4 to 8,Tables of 8,4 share a table,474.63
0.1,87,45 minutes,45 minutes,45 minutes,Awareness,330,Tables of 4 to 8,Tables of 8,Tables of 4 to 8,473.11
0.1,87,45 minutes,45 minutes,45 minutes,Awareness,330,Tables of 4 to 8,Tables of 8,Tables of 8,471.44
0.1,87,45 minutes,45 minutes,45 minutes,Awareness,330,Tables of 4 to 8,Tables of 8,None,478.44
0.1,87,45 minutes,45 minutes,45 minutes,Awareness,330,Tables of 4 to 8,None,4 share a table,429.21
0.1,87,45 minutes,45 minutes,45 minutes,Awareness,330,Tables of 4 to 8,None,Tables of 4 to 8,463.97
0.1,87,45 minutes,45 minutes,45 minutes,Awareness,330,Tables of 4 to 8,None,Tables of 8,463.11
0.1,87,45 minutes,45 minutes,45 minutes,Awareness,330,Tables of 4 to 8,None,None,365.39
0.1,87,45 minutes,45 minutes,45 minutes,Awareness,330,Tables of 8,Tables of 8,4 share a table,485.4
0.1,87,45 minutes,45 minutes,45 minutes,Awareness,330,Tables of 8,Tables of 8,Tables of 4 to 8,480.17
0.1,87,45 minutes,45 minutes,45 minutes,Awareness,330,Tables of 8,Tables of 8,Tables of 8,476.74
0.1,87,45 minutes,45 minutes,45 minutes,Awareness,330,Tables of 8,Tables of 8,None,488.97
0.1,87,45 minutes,45 minutes,45 minutes,Awareness,330,Tables of 8,None,4 share a table,424.52
0.1,87,45 minutes,45 minutes,45 minutes,Awareness,330,Tables of 8,None,Tables of 4 to 8,474.92
0.1,87,45 minutes,45 minutes,45 minutes,Awareness,330,Tables of 8,None,Tables of 8,464.48
0.1,87,45 minutes,45 minutes,45 minutes,Awareness,330,Tables of 8,None,None,370.99
0.1,87,45 minutes,45 minutes,45 minutes,Awareness,330,None,Tables of 8,4 share a table,469.87
0.1,87,45 minutes,45 minutes,45 minutes,Awareness,330,None,Tables of 8,Tables of 4 to 8,477.96
0.1,87,45 minutes,45 minutes,45 minutes,Awareness,330,None,Tables of 8,Tables of 8,478.71
0.1,87,45 minutes,45 minutes,45 minutes,Awareness,330,None,None,4 share a table,413.17
0.1,87,45 minutes,45 minutes,45 minutes,Awareness,330,None,None,Tables of 4 to 8,461.09
0.1,87,45 minutes,45 minutes,45 minutes,Awareness,330,None,None,Tables of 8,453.06
0.1,87,45 minutes,45 minutes,45 minutes,Awareness,330,None,4 share a table,None,410.32
0.1,87,45 minutes,45 minutes,45 minutes,Awareness,330,None,Tables of 4 to 8,None,461.04
0.1,87,45 minutes,45 minutes,45 minutes,Awareness,330,None,Tables of 8,None,479.4
0.1,87,45 minutes,45 minutes,45 minutes,Awareness,330,None,Tables of 8,None,479.4
0.1,87,45 minutes,45 minutes,45 minutes,Awareness,330,None,None,None,349.09
0.1,87,45 minutes,45 minutes,45 minutes,Awareness,330,Tables of 8,Tables of 4 to 8,Tables of 4 to 8,528.31
0.1,87,45 minutes,45 minutes,45 minutes,Awareness,330,Tables of 8,Tables of 4 to 8,4 share a table,517.63
0.1,87,45 minutes,45 minutes,45 minutes,Awareness,330,Tables of 8,Tables of 8,4 share a table,485.4
0.1,87,45 minutes,45 minutes,45 minutes,Awareness,330,Tables of 8,4 share a table,4 share a table,515.22
0.1,87,45 minutes,45 minutes,45 minutes,Awareness,330,4 share a table,4 share a table,4 share a table,478.1
0.2,87,45 minutes,45 minutes,45 minutes,Awareness,330,Tables of 4 to 8,Tables of 8,Tables of 4 to 8,453.94
0.1,87,45 minutes,45 minutes,45 minutes,Awareness,330,Tables of 4 to 8,Tables of 8,Tables of 4 to 8,473.11
0,87,45 minutes,45 minutes,45 minutes,Awareness,330,Tables of 4 to 8,Tables of 8,Tables of 4 to 8,437.76
0.1,31,45 minutes,60 minutes,45 minutes,Awareness,330,Tables of 4 to 8,Tables of 8,Tables of 4 to 8,258.5
0.1,31,45 minutes,60 minutes,45 minutes,Awareness,330,Tables of 8,Tables of 8,Tables of 8,276.9
0.1,31,45 minutes,45 minutes,45 minutes,Awareness,270,Tables of 8,Tables of 8,Tables of 8,194.96
0.1,31,45 minutes,45 minutes,45 minutes,Awareness,330,Tables of 8,Tables of 8,Tables of 8,296.57
2.1,71,47 minutes,45 minutes,67 minutes,Happy Hour,330,Tables of 8,Tables of 8,Tables of 8,637.86
1.6,79,45 minutes,45 minutes,50 minutes,Happy Hour,330,Tables of 8,Tables of 8,Tables of 8,599.25
2.1,63,47 minutes,45 minutes,75 minutes,Happy Hour,330,Tables of 8,Tables of 8,Tables of 8,634.91
2.1,63,47 minutes,45 minutes,75 minutes,Happy Hour,330,4 share a table,4 share a table,Tables of 8,365.32
2.1,63,47 minutes,45 minutes,75 minutes,Happy Hour,330,Tables of 4 to 8,Tables of 4 to 8,Tables of 8,508.33
2.1,63,47 minutes,45 minutes,75 minutes,Happy Hour,330,Tables of 8,Tables of 8,None,581.49
2.1,63,47 minutes,45 minutes,75 minutes,Happy Hour,330,Tables of 8,Tables of 8,Tables of 4 to 8,626.97
2.1,63,47 minutes,45 minutes,75 minutes,Happy Hour,330,Tables of 8,Tables of 8,Tables of 8,634.91
1,63,47 minutes,45 minutes,75 minutes,Happy Hour,330,Tables of 8,Tables of 8,Tables of 8,459.16
2.2,63,47 minutes,45 minutes,75 minutes,Happy Hour,330,Tables of 8,Tables of 8,Tables of 8,608.41
2,63,47 minutes,45 minutes,75 minutes,Happy Hour,330,Tables of 8,Tables of 8,Tables of 8,608.58
2.1,63,47 minutes,45 minutes,75 minutes,Happy Hour,330,Tables of 8,Tables of 8,Tables of 8,634.91
2.1,63,48 minutes,45 minutes,75 minutes,Happy Hour,330,Tables of 8,Tables of 8,Tables of 8,626.79
2.1,63,47 minutes,45 minutes,75 minutes,Happy Hour,330,Tables of 8,Tables of 8,Tables of 8,634.91
2.1,63,46 minutes,45 minutes,75 minutes,Happy Hour,330,Tables of 8,Tables of 8,Tables of 8,634.68
2.1,63,46 minutes,46 minutes,75 minutes,Happy Hour,330,Tables of 8,Tables of 8,Tables of 8,630.49
2.1,63,46 minutes,45 minutes,74 minutes,Happy Hour,330,Tables of 8,Tables of 8,Tables of 8,634.66
2.1,63,46 minutes,45 minutes,75 minutes,Happy Hour,330,Tables of 8,Tables of 8,Tables of 8,634.68
